NOM_DU_SITE;GROUPE_DE_DECHETS;CATEGORIE;FAMILLE IN;VEC;ACTIVITE ( Bq);COORDONNEE
ARMEE DE L'AIR - BA 278 AMBERIEU;Cadrans, indicateurs;AUTRES;S02;-;1000;46.2155771882, 4.94401653572
ARMEE DE L'AIR - BA 278 AMBERIEU;Cadrans, indicateurs;AUTRES;S02;-;1000;46.3839687426, 4.99673330289
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;45.996682755, 5.17064024433
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.0297481174, 4.80444571493
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.2669661647, 5.06646487067
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.4189734526, 5.29443654236
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.3671955849, 5.17380387543
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.3671955849, 5.17380387543
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.3671955849, 5.17380387543
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.248907515, 5.12631665891
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.3218795956, 5.38462523066
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.2124388126, 4.91201985517
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.2760137182, 4.97175620392
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.3058142448, 5.06111179477
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.2609412652, 4.91594672289
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.1006970426, 5.32859625187
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.0713048056, 4.89793817131
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.0798652751, 5.52969730872
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;46.3450864241, 5.32181716079
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;49.6898827225, 3.43424611881
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;48.8614300521, 3.46388951383
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;49.758333275, 3.68248007985
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;49.9182917947, 3.37169640907
ARMEE DE L'AIR - BA 278 AMBERIEU;Tubes électroniques;AUTRES;S01;-;1000000;49.8890156162, 3.24397565569
INOL IMAGERIE NUCLEAIRE DE L'OUEST LYONNAIS ET DE L'AIN - MEDECINE NUCLEAIRE -BOURG EN BRESSE;;VTC;DGD;0,1;-;49.2719201771, 3.35168777108
IONISOS - INSTALLATION D'IONISATION DE DAGNEUX ;Déchets métalliques;TFA;TFA;0;10000;49.8175420564, 3.60493459668
IONISOS - INSTALLATION D'IONISATION DE DAGNEUX ;Déchets technologiques (frottis, gants..);TFA;TFA;0,0825;10000;49.9326422425, 3.62135959339
IONISOS - INSTALLATION D'IONISATION DE DAGNEUX ;Résines échangeuses d'ions;TFA;TFA;0,2739;10000;49.7027783917, 3.48196517088
CERN - SITE DE PREVESSIN-MOENS;Autres déchets;AUTRES;S01;-;16200000000;49.7027783917, 3.48196517088
CERN - SITE DE PREVESSIN-MOENS;Autres déchets;TFA;TFA;10,8834;8700000000;50.0221549425, 3.98152961664
CERN - SITE DE PREVESSIN-MOENS;Autres déchets;TFA;TFA;4,0779;120500000;50.0221549425, 3.98152961664
CERN - SITE DE PREVESSIN-MOENS;Autres déchets;TFA;TFA;268,0635;22900000000;49.7768621507, 3.49888586002
CERN - SITE DE PREVESSIN-MOENS;Déchets dangereux;FMA-VC;F3-9-01;8,09;59500000000;46.4435567634, 3.36214726043
CERN - SITE DE PREVESSIN-MOENS;Déchets dangereux;TFA;TFA;169,566;2900000000;46.1887923712, 3.27315459215
CERN - SITE DE PREVESSIN-MOENS;Déchets dangereux;TFA;TFA;360,841;202000000;46.6776062773, 3.05213240814
CERN - SITE DE PREVESSIN-MOENS;Déchets dangereux;TFA;TFA;1,7904;3200000;46.462318515, 3.43151079464
CERN - SITE DE PREVESSIN-MOENS;Déchets inertes;FMA-VC;F3-9-01;18,483;1,05E+11;46.4435567634, 3.36214726043
CERN - SITE DE PREVESSIN-MOENS;Déchets inertes;TFA;TFA;270,459;5000000000;46.1767648077, 3.53443508421
CERN - SITE DE PREVESSIN-MOENS;Déchets inertes;TFA;TFA;41,323;168400000;46.2580876657, 3.51220953395
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;FMA-VC;F3-9-01;1309,5866;1,08E+13;46.1798678929, 3.21462252072
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;FMA-VC;F3-9-01;326,616;1,94E+11;44.0304579455, 5.97280724116
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;FMA-VC;F3-9-01;10,692;41400000000;49.4281041003, 4.41767349267
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;2763,7482;1,26E+11;49.4745016662, 4.24744644934
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;277,0552;9300000000;49.4745016662, 4.24744644934
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;757,5648;17400000000;49.419244431, 4.27431210709
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;196,3346;4800000000;49.6046818009, 4.14006951931
CERN - SITE DE PREVESSIN-MOENS;Déchets métalliques;TFA;TFA;539,896;927300000;49.38634629, 4.53937653028
