NOM_POLLUANT;QUANTITE;COORDONNEE;IDENTIFIANT;COORDONNEE;NOM_DEPARTEMENT
Ammoniac (NH3);150600;46.2155771882, 4.94401653572;1046103;46.2155771882, 4.94401653572;PYRENEES-ATLANTIQUES
Ammoniac (NH3);46000;46.3839687426, 4.99673330289;1050004;46.3839687426, 4.99673330289;DORDOGNE
Ammoniac (NH3);184300;45.996682755, 5.17064024433;1074121;45.996682755, 5.17064024433;CANTAL
Ammoniac (NH3);134400;46.0297481174, 4.80444571493;1075089;46.0297481174, 4.80444571493;AUDE
Ammoniac (NH3);111200;46.2669661647, 5.06646487067;1115003;46.2669661647, 5.06646487067;MEURTHE-ET-MOSELLE
Ammoniac (NH3);44900;46.4189734526, 5.29443654236;1147112;46.4189734526, 5.29443654236;VOSGES
Ammoniac (NH3);149800;46.3671955849, 5.17380387543;1163009;46.3671955849, 5.17380387543;HAUTES-PYRENEES
Ammoniac (NH3);93700;46.3671955849, 5.17380387543;1163015;46.3671955849, 5.17380387543;CALVADOS
Ammoniac (NH3);14500;46.3671955849, 5.17380387543;1163177;46.3671955849, 5.17380387543;GIRONDE
Ammoniac (NH3);164600;46.248907515, 5.12631665891;1301084;46.248907515, 5.12631665891;ARDECHE
Ammoniac (NH3);274100;46.3218795956, 5.38462523066;1312009;46.3218795956, 5.38462523066;COTE-D'OR
Ammoniac (NH3);11000;46.2124388126, 4.91201985517;1334001;46.2124388126, 4.91201985517;PAS-DE-CALAIS
Ammoniac (NH3);88700;46.2760137182, 4.97175620392;1343009;46.2760137182, 4.97175620392;ILLE-ET-VILAINE
Ammoniac (NH3);106400;46.3058142448, 5.06111179477;1346010;46.3058142448, 5.06111179477;CALVADOS
Ammoniac (NH3);84800;46.2609412652, 4.91594672289;1365149;46.2609412652, 4.91594672289;NORD
Ammoniac (NH3);14200;46.1006970426, 5.32859625187;1374138;46.1006970426, 5.32859625187;BOUCHES-DU-RHONE
Ammoniac (NH3);73000;46.0713048056, 4.89793817131;1389156;46.0713048056, 4.89793817131;AISNE
Ammoniac (NH3);89600;46.0798652751, 5.52969730872;1441045;46.0798652751, 5.52969730872;HAUT-RHIN
Ammoniac (NH3);101500;46.3450864241, 5.32181716079;1445005;46.3450864241, 5.32181716079;VOSGES
Ammoniac (NH3);193700;49.6898827225, 3.43424611881;2017039;49.6898827225, 3.43424611881;AUDE
Ammoniac (NH3);97500;48.8614300521, 3.46388951383;2147039;48.8614300521, 3.46388951383;GERS
Ammoniac (NH3);11600;49.758333275, 3.68248007985;2169009;49.758333275, 3.68248007985;HAUTE-SAONE
Ammoniac (NH3);41600;49.9182917947, 3.37169640907;2323052;49.9182917947, 3.37169640907;BAS-RHIN
Ammoniac (NH3);28900;49.8890156162, 3.24397565569;2355051;49.8890156162, 3.24397565569;ILLE-ET-VILAINE
Ammoniac (NH3);92900;49.2719201771, 3.35168777108;2372851;49.2719201771, 3.35168777108;PAS-DE-CALAIS
Ammoniac (NH3);183100;49.8175420564, 3.60493459668;2403072;49.8175420564, 3.60493459668;NIEVRE
Ammoniac (NH3);65200;49.9326422425, 3.62135959339;2422103;49.9326422425, 3.62135959339;GARD
Ammoniac (NH3);84800;49.7027783917, 3.48196517088;2559061;49.7027783917, 3.48196517088;BAS-RHIN
Ammoniac (NH3);57300;49.7027783917, 3.48196517088;2559851;49.7027783917, 3.48196517088;LOIRE
Ammoniac (NH3);178700;50.0221549425, 3.98152961664;2650115;50.0221549425, 3.98152961664;LOZERE
Ammoniac (NH3);13000;50.0221549425, 3.98152961664;2650303;50.0221549425, 3.98152961664;LOT-ET-GARONNE
Ammoniac (NH3);60000;49.7768621507, 3.49888586002;2813030;49.7768621507, 3.49888586002;ILLE-ET-VILAINE
Ammoniac (NH3);159300;46.4435567634, 3.36214726043;3025109;46.4435567634, 3.36214726043;GIRONDE
Ammoniac (NH3);68800;46.1887923712, 3.27315459215;3043107;46.1887923712, 3.27315459215;GIRONDE
Ammoniac (NH3);198400;46.6776062773, 3.05213240814;3146008;46.6776062773, 3.05213240814;LOIRE-ATLANTIQUE
Ammoniac (NH3);77100;46.462318515, 3.43151079464;3197077;46.462318515, 3.43151079464;LOT-ET-GARONNE
Ammoniac (NH3);71800;46.4435567634, 3.36214726043;3197999;46.4435567634, 3.36214726043;MORBIHAN
Ammoniac (NH3);20800;46.1767648077, 3.53443508421;3230063;46.1767648077, 3.53443508421;MAINE-ET-LOIRE
Ammoniac (NH3);39300;46.2580876657, 3.51220953395;3235999;46.2580876657, 3.51220953395;BAS-RHIN
Ammoniac (NH3);94500;46.1798678929, 3.21462252072;3237999;46.1798678929, 3.21462252072;ILLE-ET-VILAINE
Ammoniac (NH3);33800;44.0304579455, 5.97280724116;4116006;44.0304579455, 5.97280724116;LOIRE
Ammoniac (NH3);11300;49.4281041003, 4.41767349267;8014090;49.4281041003, 4.41767349267;LOIRE-ATLANTIQUE
Ammoniac (NH3);65800;49.4745016662, 4.24744644934;8038090;49.4745016662, 4.24744644934;MOSELLE
Ammoniac (NH3);69000;49.4745016662, 4.24744644934;8038091;49.4745016662, 4.24744644934;DOUBS
Ammoniac (NH3);136500;49.419244431, 4.27431210709;8111090;49.419244431, 4.27431210709;COTES-D'ARMOR
Ammoniac (NH3);139800;49.6046818009, 4.14006951931;8210005;49.6046818009, 4.14006951931;VIENNE
Ammoniac (NH3);83400;49.38634629, 4.53937653028;8250031;49.38634629, 4.53937653028;PUY-DE-DOME
Ammoniac (NH3);215000;49.3786952648, 4.28577331721;8287013;49.3786952648, 4.28577331721;LOIR-ET-CHER
Ammoniac (NH3);110600;49.4113113962, 4.30196881028;8314003;49.4113113962, 4.30196881028;YONNE
Ammoniac (NH3);156200;49.4113113962, 4.30196881028;8314010;49.4113113962, 4.30196881028;YONNE
Ammoniac (NH3);72800;49.4113113962, 4.30196881028;8314091;49.4113113962, 4.30196881028;CHARENTE-MARITIME
Ammoniac (NH3);67800;49.4145327202, 4.24013013472;8397090;49.4145327202, 4.24013013472;MANCHE
Ammoniac (NH3);71900;49.4395295848, 4.28571641726;8435023;49.4395295848, 4.28571641726;JURA
Ammoniac (NH3);239400;48.6176579435, 4.00623147518;10075018;48.6176579435, 4.00623147518;ORNE
Ammoniac (NH3);235000;48.5506963939, 4.36777313882;10121023;48.5506963939, 4.36777313882;ISERE
Ammoniac (NH3);349600;48.5506963939, 4.36777313882;10121046;48.5506963939, 4.36777313882;AVEYRON
Ammoniac (NH3);427900;48.5122166021, 4.24852622672;10256036;48.5122166021, 4.24852622672;CHER
Ammoniac (NH3);204500;47.4112421706, 1.0895544323;10370098;47.4112421706, 1.0895544323;SEINE-MARITIME
Ammoniac (NH3);237600;48.6357319111, 4.11197120688;10430022;48.6357319111, 4.11197120688;CHER
Ammoniac (NH3);11100;48.6357319111, 4.11197120688;10430500;48.6357319111, 4.11197120688;LOT
Ammoniac (NH3);23000;46.9612006463, -0.995354419268;10850718;46.9612006463, -0.995354419268;DEUX-SEVRES
Ammoniac (NH3);14700;47.0018390888, -1.33167939307;10850858;47.0018390888, -1.33167939307;ARDECHE
Ammoniac (NH3);10400;46.8703207706, -1.01720000732;10850926;46.8703207706, -1.01720000732;INDRE
Ammoniac (NH3);20300;46.8337013829, -0.859797769873;10851322;46.8337013829, -0.859797769873;BOUCHES-DU-RHONE
Ammoniac (NH3);10100;46.7398266238, -1.60593713855;10853363;46.7398266238, -1.60593713855;MAYENNE
Ammoniac (NH3);24200;47.0503884658, -1.26569128428;10853859;47.0503884658, -1.26569128428;ILLE-ET-VILAINE
Ammoniac (NH3);33900;46.9479590316, -1.19386678238;10853981;46.9479590316, -1.19386678238;LOIRE
Ammoniac (NH3);25700;46.7940186096, -0.925883178424;10854129;46.7940186096, -0.925883178424;CHARENTE-MARITIME
Ammoniac (NH3);37100;46.7940186096, -0.925883178424;10854154;46.7940186096, -0.925883178424;ISERE
Ammoniac (NH3);65000;46.7834709221, -1.62336857098;10854877;46.7834709221, -1.62336857098;TARN
Ammoniac (NH3);41300;46.892603456, -1.25037724224;10855138;46.892603456, -1.25037724224;ARIEGE
Ammoniac (NH3);10400;46.665673861, -0.793010203493;10855203;46.665673861, -0.793010203493;BOUCHES-DU-RHONE
Ammoniac (NH3);69000;46.8337013829, -0.859797769873;10855747;46.8337013829, -0.859797769873;NORD
Ammoniac (NH3);31900;46.8703207706, -1.01720000732;10856259;46.8703207706, -1.01720000732;HAUTE-CORSE
Ammoniac (NH3);82500;46.8703207706, -1.01720000732;10856265;46.8703207706, -1.01720000732;DOUBS
Ammoniac (NH3);63700;46.7548956399, -1.6858230563;10856700;46.7548956399, -1.6858230563;DEUX-SEVRES
Ammoniac (NH3);26000;46.9059242522, -1.4520881381;10857072;46.9059242522, -1.4520881381;COTES-D'ARMOR
Ammoniac (NH3);106800;46.5946014727, -1.18204406822;10857561;46.5946014727, -1.18204406822;HAUTE-MARNE
Ammoniac (NH3);47100;46.8304962829, -1.27053271993;10858010;46.8304962829, -1.27053271993;MOSELLE
Ammoniac (NH3);107000;46.832880014, -1.19323055063;10858073;46.832880014, -1.19323055063;COTES-D'ARMOR
Ammoniac (NH3);46800;46.8224469621, -1.35879380362;10858332;46.8224469621, -1.35879380362;SEINE-MARITIME
Ammoniac (NH3);25100;46.8503434916, -1.1761947178;10858584;46.8503434916, -1.1761947178;PYRENEES-ORIENTALES
Ammoniac (NH3);81800;46.6010930841, -0.72390978466;10859470;46.6010930841, -0.72390978466;ISERE
Ammoniac (NH3);44000;46.8293618536, -0.882590487822;10859666;46.8293618536, -0.882590487822;MOSELLE
Ammoniac (NH3);21000;46.6969563891, -0.699202284694;10859840;46.6969563891, -0.699202284694;HAUT-RHIN
Ammoniac (NH3);10100;43.2686969164, 1.94368572828;11138002;43.2686969164, 1.94368572828;COTE-D'OR
Ammoniac (NH3);141300;43.4043717491, 1.94955768609;11292003;43.4043717491, 1.94955768609;COTE-D'OR
Ammoniac (NH3);127500;44.5686440293, 2.58817697968;12049111;44.5686440293, 2.58817697968;PYRENEES-ATLANTIQUES
Ammoniac (NH3);21900;44.388673088, 2.36304856628;12142051;44.388673088, 2.36304856628;VENDEE
Ammoniac (NH3);53400;43.4811460018, 5.62281522725;13087700;43.4811460018, 5.62281522725;MAYENNE
Ammoniac (NH3);124800;49.321654605, -0.797817705364;14124081;49.321654605, -0.797817705364;HERAULT
Ammoniac (NH3);150400;45.8924089909, 0.389531396078;16068142;45.8924089909, 0.389531396078;HAUTES-ALPES
Hydrochlorofluorocarbures (HCFC);1258;45.6166684542, 0.100000005558;16113010;45.6166684542, 0.100000005558;MAYENNE
Ammoniac (NH3);197800;45.5112866715, -0.137213947312;16338027;45.5112866715, -0.137213947312;VAUCLUSE
Ammoniac (NH3);150700;45.7960877439, 0.49468419965;16416136;45.7960877439, 0.49468419965;VAR
Ammoniac (NH3);105400;46.0242144189, -0.303245067805;17358056;46.0242144189, -0.303245067805;ARIEGE
Ammoniac (NH3);104100;45.7471525926, -0.637908037884;17415143;45.7471525926, -0.637908037884;ALLIER
Ammoniac (NH3);66600;45.671289352, -0.78754444525;17445057;45.671289352, -0.78754444525;COTES-D'ARMOR
Ammoniac (NH3);113600;46.9662670023, 2.17489205506;18066001;46.9662670023, 2.17489205506;COTES-D'ARMOR
Ammoniac (NH3);526200;46.9662670023, 2.17489205506;18066017;46.9662670023, 2.17489205506;PYRENEES-ATLANTIQUES
Ammoniac (NH3);185800;47.4298825065, 2.38341051201;18088131;47.4298825065, 2.38341051201;NORD
Ammoniac (NH3);541700;47.0979201852, 2.57478854096;18158908;47.0979201852, 2.57478854096;PAS-DE-CALAIS
Ammoniac (NH3);91000;46.8377318004, 2.3145475036;18273003;46.8377318004, 2.3145475036;SOMME
Ammoniac (NH3);43600;;19209008;;AISNE
Ammoniac (NH3);53700;48.3111537406, -2.87274454735;22001011;48.3111537406, -2.87274454735;AISNE
Ammoniac (NH3);61300;48.3111537406, -2.87274454735;22001056;48.3111537406, -2.87274454735;SOMME
Ammoniac (NH3);41200;48.3111537406, -2.87274454735;22001060;48.3111537406, -2.87274454735;SOMME
Ammoniac (NH3);25800;48.3111537406, -2.87274454735;22001106;48.3111537406, -2.87274454735;NORD
Ammoniac (NH3);180300;48.3111537406, -2.87274454735;22001127;48.3111537406, -2.87274454735;NORD
Ammoniac (NH3);10000;48.4918946765, -2.56677929419;22002090;48.4918946765, -2.56677929419;PAS-DE-CALAIS
Ammoniac (NH3);11400;48.5434519495, -3.39665630364;22005069;48.5434519495, -3.39665630364;NORD
Ammoniac (NH3);84200;48.5434519495, -3.39665630364;22005092;48.5434519495, -3.39665630364;NORD
Ammoniac (NH3);47900;48.4177889347, -3.0654205796;22011028;48.4177889347, -3.0654205796;PAS-DE-CALAIS
Ammoniac (NH3);69500;48.570640482, -2.43743536782;22012004;48.570640482, -2.43743536782;PAS-DE-CALAIS
Ammoniac (NH3);11200;48.4021229832, -2.57459007377;22015045;48.4021229832, -2.57459007377;NORD
Ammoniac (NH3);10700;48.3165558544, -2.26221280532;22020209;48.3165558544, -2.26221280532;PAS-DE-CALAIS
Ammoniac (NH3);65600;48.4278156067, -3.33022902899;22023066;48.4278156067, -3.33022902899;SOMME
Ammoniac (NH3);277500;48.0587997004, -2.61115242529;22027007;48.0587997004, -2.61115242529;SOMME
Ammoniac (NH3);38400;48.0587997004, -2.61115242529;22027125;48.0587997004, -2.61115242529;NORD
Ammoniac (NH3);115300;48.3127071067, -3.16619085697;22029041;48.3127071067, -3.16619085697;NORD
Ammoniac (NH3);23400;48.3390162878, -3.10590902376;22029136;48.3390162878, -3.10590902376;SOMME
Ammoniac (NH3);118100;48.3390162878, -3.10590902376;22029138;48.3390162878, -3.10590902376;SOMME
Ammoniac (NH3);61300;48.2893307063, -2.15354716988;22032105;48.2893307063, -2.15354716988;AISNE
Ammoniac (NH3);113800;48.4911018678, -2.60093548091;22044010;48.4911018678, -2.60093548091;SOMME
Ammoniac (NH3);97800;48.4631281548, -2.95240095257;22045066;48.4631281548, -2.95240095257;SOMME
Ammoniac (NH3);90000;48.240846519, -3.12384718726;22052018;48.240846519, -3.12384718726;SOMME
Ammoniac (NH3);121800;48.4202509181, -2.65749434582;22056200;48.4202509181, -2.65749434582;NORD
Ammoniac (NH3);11900;48.2230348395, -3.39546023136;22061059;48.2230348395, -3.39546023136;NORD
Ammoniac (NH3);70200;48.6043651879, -3.02018571116;22065127;48.6043651879, -3.02018571116;CALVADOS
Ammoniac (NH3);73600;48.4021229832, -2.57459007377;22065795;48.4021229832, -2.57459007377;MANCHE
