Identifiant;Nom Etablissement;Numéro Siret;Adresse;Code Postal;Commune;Departement;Region;coordonnées_x;coordonnées_y;Code APE;Libellé APE;Code Eprtr;Libelle Eprtr;coordonnees;Milieu;Polluant;Quantite
1046103;GAEC des Prelions;7,79E+13;400 route des Calendras;1290;BIZIAT;AIN;AUVERGNE-RHONE-ALPES;801148;2138382;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.2155771882, 4.94401653572;Air;Ammoniac (NH3);150600
1050004;EARL Les Cornalières;5,24E+13;Les Cornalières;1190;BOISSEY;AIN;AUVERGNE-RHONE-ALPES;804580;2157224;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.3839687426, 4.99673330289;Air;Ammoniac (NH3);46000
1074121;AVIPONTE;3,31E+13;1780 route de Villars les Dombes;1320;CHALAMONT;AIN;AUVERGNE-RHONE-ALPES;819500;2114673;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;45.996682755, 5.17064024433;Air;Ammoniac (NH3);184300
1075089;GAEC du Perrat (site volaille);3,05E+13;Les Ferrières;1480;CHALEINS;AIN;AUVERGNE-RHONE-ALPES;791033;2117390;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.0297481174, 4.80444571493;Air;Ammoniac (NH3);134400
1115003;SARL de Montburon;4,01E+13;123 route de Montburon;1310;CONFRANCON;AIN;AUVERGNE-RHONE-ALPES;810392;2144411;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.2669661647, 5.06646487067;Air;Ammoniac (NH3);111200
1147112;SCEA ROBIN;3,94E+13;La Richardière;1270;DOMSURE;AIN;AUVERGNE-RHONE-ALPES;827318;2161930;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.4189734526, 5.29443654236;Air;Ammoniac (NH3);44900
1163009;SARL ELEVAGE DES CHARMES;5,30E+13;460 Chemin des Charmes;1340;FOISSIAT;AIN;AUVERGNE-RHONE-ALPES;818259;2155837;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.3671955849, 5.17380387543;Air;Ammoniac (NH3);149800
1163015;SARL Elevage du Bois Cochon;4,39E+13;Lieu-dit Monnet des Bois;1340;FOISSIAT;AIN;AUVERGNE-RHONE-ALPES;818259;2155837;0146Z;Elevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies;46.3671955849, 5.17380387543;Air;Ammoniac (NH3);93700
1163177;EARL des Quatres Saisons;4,22E+13;Quinte;1340;FOISSIAT;AIN;AUVERGNE-RHONE-ALPES;818259;2155837;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.3671955849, 5.17380387543;Air;Ammoniac (NH3);14500
1301084;SARL Elevage des Marais;4,00E+13;Les Vernays;1310;POLLIAT;AIN;AUVERGNE-RHONE-ALPES;815074;2142567;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.248907515, 5.12631665891;Air;Ammoniac (NH3);164600
1312009;PROVENT SDPR - Elevage des 3 Monts;3,84E+13;Route des 3 Monts;1370;PRESSIAT;AIN;AUVERGNE-RHONE-ALPES;834664;2151411;0146Z;Elevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies;46.3218795956, 5.38462523066;Air;Ammoniac (NH3);274100
1334001;FETET (S.C.E.A);4,20E+13;;1290;SAINT-ANDRE-D'HUIRIAT;AIN;AUVERGNE-RHONE-ALPES;798692;2137952;012G;Elevage de volailles;;;46.2124388126, 4.91201985517;Air;Ammoniac (NH3);11000
1343009;SAS AIRPORC / ELEVAGE GREZIAT;3,52E+13;Gréziat;1380;SAINT-CYR-SUR-MENTHON;AIN;AUVERGNE-RHONE-ALPES;803062;2145167;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.2760137182, 4.97175620392;Air;Ammoniac (NH3);88700
1346010;SCEA SOGIFRA;3,26E+13;Au Montet;1430;SAINT-DIDIER-D'AUSSIAT;AIN;AUVERGNE-RHONE-ALPES;809830;2148712;0146Z;Elevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies;46.3058142448, 5.06111179477;Air;Ammoniac (NH3);106400
1365149;Agrioeuf;3,31E+13;Les Moures;1290;SAINT-JEAN-SUR-VEYLE;AIN;AUVERGNE-RHONE-ALPES;798818;2143350;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.2609412652, 4.91594672289;Air;Ammoniac (NH3);84800
1374138;GAEC de l'Orme;7,79E+13;Salles;1160;SAINT-MARTIN-DU-MONT;AIN;AUVERGNE-RHONE-ALPES;831288;2126679;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.1006970426, 5.32859625187;Air;Ammoniac (NH3);14200
1389156;GAEC MESSIDOR;3,53E+13;Le Valentin;1990;SAINT-TRIVIER-SUR-MOIGNANS;AIN;AUVERGNE-RHONE-ALPES;798117;2122238;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;46.0713048056, 4.89793817131;Air;Ammoniac (NH3);73000
1441045;SA Larà§on;7,61E+13;LE BALMAY;1430;VIEU-D'IZENAVE;AIN;AUVERGNE-RHONE-ALPES;846919;2124977;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.0798652751, 5.52969730872;Air;Ammoniac (NH3);89600
1445005;EARL DU CHARPET;3,28E+13;Lieu-dit Au fay;1270;VILLEMOTIER;AIN;AUVERGNE-RHONE-ALPES;829733;2153803;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);46.3450864241, 5.32181716079;Air;Ammoniac (NH3);101500
2017039;SCEA Les COUTURES;4,09E+13;ROUTE DE RENANSART;2800;ANGUILCOURT-LE-SART;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;679300;2522000;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.6898827225, 3.43424611881;Air;Ammoniac (NH3);193700
2147039;SCEA des 3B;3,92E+13;ROUTE DE VINET;2540;LA CELLE-SOUS-MONTMIRAIL;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;682763;2429826;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;48.8614300521, 3.46388951383;Air;Ammoniac (NH3);97500
2169009;SCEA HIERNAUX;3,34E+13;13 Rue de bois;2270;CHATILLON-LES-SONS;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;697100;2529900;0150Z;Culture et élevage associés;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.758333275, 3.68248007985;Air;Ammoniac (NH3);11600
2323052;SCEA DE LA COUTURELLE;4,00E+13;316 rue de la source;2110;FONTAINE-UTERTE;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;674447;2547374;0147Z;Elevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.9182917947, 3.37169640907;Air;Ammoniac (NH3);41600
2355051;SA CARLIER PRODUCTION;4,10E+13;;2100;GRICOURT;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;665300;2544000;012G;Elevage de volailles;;;49.8890156162, 3.24397565569;Air;Ammoniac (NH3);28900
2372851;GAEC MANSCOURT;3,03E+13;18 Hameau de taux;2210;HARTENNES-ET-TAUX;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;673937;2475392;0146Z;Elevage de porcins;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg);49.2719201771, 3.35168777108;Air;Ammoniac (NH3);92900
2403072;SA DE BERTAIGNEMONT;4,00E+13;Ferme de Bertaignemont;2120;LANDIFAY-ET-BERTAIGNEMONT;AISNE;NORD-PAS-DE-CALAIS-PICARDIE;691400;2536400;0150Z;Culture et élevage associés;7.(a).(i);disposant de 40 000 emplacements pour la volaille;49.8175420564, 3.60493459668;Air;Ammoniac (NH3);183100
