Identifiant;Nom Etablissement;CodePostal;Code APE;Libelle APE;coordonnees_x;coordonnees_y;COORDONNEE
063.01177;CHARAL;72302;151A;Production de viandes de boucherie;400149.242;2318274.297;46.2155771882, 4.94401653572
051.01999;SARL DOUAY Bernard;80130;2561Z;Traitement et revêtement des métaux;540025;2564975;46.3839687426, 4.99673330289
067.02748;VIDOR;68700;900B;Enlèvement et traitement des ordures ménagères;959336;2319628;45.996682755, 5.17064024433
051.02011;PARICHE;80200;2313Z;Fabrication de verre creux;550390;2550145;46.0297481174, 4.80444571493
065.01820;MPRO;77290;268C;Fabrication de produits minéraux non métalliques n.c.a.;624174.022;2444702.894;46.2669661647, 5.06646487067
072.05330;COGNAC GAUTIER;16140;1101Z;Production de boissons alcooliques distillées;419341;2101620;46.4189734526, 5.29443654236
051.02130;ACIA AUTOMOTIVE;80600;2059Z;Fabrication d'autres produits chimiques n.c.a.;601034;2573674;46.3671955849, 5.17380387543
065.11220;Station de Compression de Château Landon;77570;603Z;Transports par conduites;627234;2350164;46.3671955849, 5.17380387543
29004010;PROTEIS VIANDES;29380;151C;Production de viandes de volailles;149449;2343179;46.3671955849, 5.17380387543
051.02141;GALVAMETAL;80570;2561Z;Traitement et revêtement des métaux;543330;2559525;46.248907515, 5.12631665891
75850158;EARL Millet;85390;012G;Elevage de volailles;359511;2187474;46.3218795956, 5.38462523066
051.02104;LENNE;80570;286F;Fabrication de serrures et de ferrures;541725;2561212;46.2124388126, 4.91201985517
051.02385;AMCOR FLEXIBLES FOOD FRANCE;80110;2222Z;Fabrication d'emballages en matières plastiques;610693.65033106;2531036.0111173;46.2760137182, 4.97175620392
055.00977;Rolland SA;29411;293D;Fabrication de matériel agricole;113198;2403912;46.3058142448, 5.06111179477
055.14433;Avilande;22402;900E;Traitements des autres déchets solides;241672;2396846;46.2609412652, 4.91594672289
75200264;CARO ANDREE;56250;;non renseigné;225900;2312299;46.1006970426, 5.32859625187
75290043;SCEA BERNARD;29530;012G;Elevage de volailles;149705;2375961;46.0713048056, 4.89793817131
057.01471;CROUSTIFRANCE Reims;51689;158A;Fabrication industrielle de pain et de pâtisserie fraîche;723707;2474468;46.0798652751, 5.52969730872
052.01010;DASSAULT AVIATION;33701;3030Z;Construction aéronautique et spatiale;364044;1985796;46.3450864241, 5.32181716079
052.01011;REDA;33700;2561Z;Traitement et revêtement des métaux;364044;1985796;49.6898827225, 3.43424611881
052.02148;METALTEMPLE AQUITAINE;47500;2562B;Mécanique industrielle;491280;1945063;48.8614300521, 3.46388951383
42129001;AOSTE SNC etablissement de Maclas;42520;1013A;Préparation industrielle de produits à base de viande;784000;2042974;49.758333275, 3.68248007985
Route de Bordeaux;64300;AQUITAINE;;;Fabrication de matériel médico-chirurgical et dentaire;;49.9182917947, 3.37169640907
052.04338;LAFARGE GRANULATS SUD;47400;0812Z;Exploitation de gravières et sablières -  extraction d'argiles et de kaolin;433307;1935437;49.8890156162, 3.24397565569
052.04951;PAPREC Sud Ouest;64121;3832Z;Récupération de déchets triés;379765;1820544;49.2719201771, 3.35168777108
053.00859;AUTO LA CARTOUCHERIE;14700;3831Z;Démantèlement d'épaves;415532;2432138;49.8175420564, 3.60493459668
051.05241;COGELYO NORD EST - Goodyear;80000;3530Z;Production et distribution de vapeur et d'air conditionné;596572;2549117;49.9326422425, 3.62135959339
054.01402;AMORA MAILLE SI;21800;1084Z;Fabrication de condiments et assaisonnements;812905;2258498;49.7027783917, 3.48196517088
100.00020;ETA;18220;2529Z;Fabrication d'autres réservoirs -  citernes et conteneurs métalliques;620863;2243049;49.7027783917, 3.48196517088
052.01173;DISTILLERIE DOUENCE-St Genès de Lombaud-;33670;2014Z;Fabrication d'autres produits chimiques organiques de base;384613;1976156;50.0221549425, 3.98152961664
052.02000;TEMBEC TARTAS SAS;40400;1711Z;Fabrication de pâte à papier;345094;1875056;50.0221549425, 3.98152961664
052.02011;SOMOMA SCIAGE;40170;1610A;Sciage et rabotage du bois -  hors imprégnation;317280.27;1898582.18;49.7768621507, 3.49888586002
100.00699;MARCADET;37230;3101Z;Fabrication de meubles de bureau et de magasin;465419;2266456;46.4435567634, 3.36214726043
052.02306;RIGHINI -Tonneins;47400;1623Z;Fabrication de charpentes et d'autres menuiseries;438289;1934226;46.1887923712, 3.27315459215
055.01374;NETRA Cesson Sévigné;35510;3811Z;Collecte des déchets non dangereux;304563.75;2352555.56;46.6776062773, 3.05213240814
055.01444;SVA Jean Rozé;35340;1011Z;Transformation et conservation de la viande de boucherie;313900;2364200;46.462318515, 3.43151079464
055.03360;ABATTOIR INTERCOMMUNAL LE FAOU;29590;1011Z;Transformation et conservation de la viande de boucherie;117124;2386124;46.4435567634, 3.36214726043
053.00633;SOCIETE FROMAGERE DE CLECY;14570;1051C;Fabrication de fromage;391377;2434819;46.1767648077, 3.53443508421
052.00707;QUARON (ex Solvadis France);33610;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;357823;1978233;46.2580876657, 3.51220953395
051.00407;décharge de LEUILLY;2000;900B;Enlèvement et traitement des ordures ménagères;694019;2508811;46.1798678929, 3.21462252072
108.00229;Blanchisserie du Centre Hospitalier de la Région d'Annecy;74960;9601A;Blanchisserie-teinturerie de gros;891957.85;2108420.8;44.0304579455, 5.97280724116
055.01496;BRASSERIES KRONENBOURG;35044;159N;Brasserie;301205;2354331;49.4281041003, 4.41767349267
055.01479;Charcuteries de Brocéliande;35137;151E;Préparation industrielle de produits à base de viandes;283700;2362400;49.4745016662, 4.24744644934
055.03344;EPI-Bretagne (Usine de Plaintel);22940;;non renseigné;218637;2391248;49.4745016662, 4.24744644934
058.02229;Ets. André Zalkin et Cie.;27390;292H;Fabrication d'équipements d'emballage et de conditionnement;463900;2439326;49.419244431, 4.27431210709
063.02334;BULL SERVICES TRELAZE;49800;652E;Organismes de placement en valeurs mobilières;388563;2275506;49.6046818009, 4.14006951931
064.00481;MAGASINS GENERAUX VAUCLUSIENS RHONE MEDITERANNEE;84130;;non renseigné;802555;1887656;49.38634629, 4.53937653028
064.00520;Conserverie des Valayans;84210;153E;Transformation et conservation de légumes;818207;1892223;49.3786952648, 4.28577331721
061.03751;ERTOL;69230;284B;Découpage -  emboutissage;789736;2082080;49.4113113962, 4.30196881028
061.03840;Fonderies DURANTON-SICFOND;69631;275E;Fonderie de métaux légers;797826;2081633;49.4113113962, 4.30196881028
064.01363;LIOTYARD;13127;282C;Fabrication de réservoirs -  citernes et conteneurs métalliques;834438;1834804;49.4113113962, 4.30196881028
064.01738;SARL BERENGIER PHILIPPE;84150;513A;Commerce de gros de fruits et légumes;802984;1910238;49.4145327202, 4.24013013472
055.01958;DANDY SA (pontivy);56300;151C;Production de viandes de volailles;204875;2351650;49.4395295848, 4.28571641726
055.05923;EDF Gaz de France Distribution Ille et Vilaine;35009;401E;Distribution et commerce d'électricité;300600;2353300;48.6176579435, 4.00623147518
50333104;EARL DE LA DOUVE;50360;;non renseigné;326000;2490892;48.5506963939, 4.36777313882
064.01396;DANISCO SEILLANS;83840;246E;Fabrication d'huiles essentielles;936479;1865385;48.5506963939, 4.36777313882
064.01656;PANZANI (société foncière et commerciale du silo de la madrague);13002;631E;Entreposage non frigorifique;846880;1815839;48.5122166021, 4.24852622672
064.01741;BERGON;83310;524Y;Commerce de détail de charbons et combustibles;940120;1816820;47.4112421706, 1.0895544323
065.03649;SUPREX;91200;159B;Fabrication de spiritueux;604673.950738;2413499.67745;48.6357319111, 4.11197120688
169.00056;SCA de la Guiche;69860;;non renseigné;769737;2142644;48.6357319111, 4.11197120688
22279023;GAEC DE PALMIN;22600;013Z;Culture et élevage associés;214786;2367239;46.9612006463, -0.995354419268
067.02084;Vishay General Semiconductor SAS;68013;321C;Fabrication de composants électroniques actifs;974508;2353241;47.0018390888, -1.33167939307
070.00544;DESSEILLES TEINTURE;62100;;non renseigné;564919;2661553;46.8703207706, -1.01720000732
061.03237;LABORATOIRE KODAK VIENNE;38200;748B;Laboratoires techniques de développement et de tirage;798448;2061987;46.8337013829, -0.859797769873
061.03415;MERIT;42405;173Z;Ennoblissement textile;770195;2055024;46.7398266238, -1.60593713855
068.04702;DURAND BELOT;81240;241J;Fabrication de produits azotés et d'engrais;612274;1830438;47.0503884658, -1.26569128428
100.01366;MIPE PITHIVIERS;45300;321D;Assemblage de cartes électroniques pour compte de tiers;593060.693301;2353925.48989;46.9479590316, -1.19386678238
062.04583;S.A.P.S. (Abattoirs de Sarrebourg);57400;;non renseigné;946534;2425485;46.7940186096, -0.925883178424
051.00050;SIVOM CHAUNY TERGNIER LA FERE (station d'épuration);2800;751A;Administration publique générale;674189;2519011;46.7940186096, -0.925883178424
065.06341;ALCOOL PETROLE CHIMIE;93300;515L;Commerce de gros de produits chimiques;604662;2434775;46.7834709221, -1.62336857098
051.01925;DEFIAL;80000;151A;Production de viandes de boucherie;597099;2544586;46.892603456, -1.25037724224
063.00999;BMB;44270;285A;Traitement et revêtement des métaux;283670;2229986;46.665673861, -0.793010203493
052.01005;FIRST METAL (ex AIRBORNE);33700;361C;Fabrication de meubles de bureau et de magasin;364044;1985796;46.8337013829, -0.859797769873
061.03380;DURALEX INTERNATIONAL FRANCE;42807;261E;Fabrication de verre creux;778136;2061369;46.8703207706, -1.01720000732
061.05187;RECUMAT;42450;372Z;Récupération de matières non métalliques recyclables;744300;2061600;46.8703207706, -1.01720000732
062.07400;France FINITION;57640;205A;Fabrication d'objets divers en bois;887300;2468500;46.7548956399, -1.6858230563
065.05121;Eau du Sud Parisien ESP;91270;410Z;Captage -  traitement et distribution d'eau;607701.056503;2413992.40693;46.9059242522, -1.4520881381
057.01123;SAS OLFA;8380;1629Z;Fabrication d'objets divers en bois  -  fabrication d'objets en liège -  vannerie et sparterie;739245;2547928;46.5946014727, -1.18204406822
057.01461;Casse industrielle de l'Automobile;51100;3812Z;Collecte des déchets dangereux;723707;2474468;46.8304962829, -1.27053271993
057.03581;SANI;10700;2020Z;Fabrication de pesticides et d'autres produits agrochimiques;742783.57;2414072.96;46.832880014, -1.19323055063
067.02154;AF3 SAS;68360;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;965800;2331999;46.8224469621, -1.35879380362
058.01222;DAVIGEL usine d'Offranville;76550;1020Z;Transformation et conservation de poisson -  de crustacés et de mollusques;507400;2542200;46.8503434916, -1.1761947178
058.01399;SEDAP;76300;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;510987;2491640;46.6010930841, -0.72390978466
058.01443;sanofi winthrop industrie;76580;2120Z;Fabrication de préparations pharmaceutiques;487987.20367099;2499458.4187275;46.8293618536, -0.882590487822
055.00074;COOPERATIVE LA PAYSANNE;22400;1091Z;Fabrication d'aliments pour animaux de ferme;247856;2404281;46.6969563891, -0.699202284694
070.04002;SARL CASSE DE DON;59272;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;641300;2617300;43.2686969164, 1.94368572828
059.00834;SAB THEVENIN;39300;2453Z;Fonderie de métaux légers;874247.31;2200603.83;43.4043717491, 1.94955768609
060.00352;NEXTER Mechanics;19012;3040Z;Construction de véhicules militaires de combat;553738.91;2029176.16;44.5686440293, 2.58817697968
060.02672;CORREZE INCINERATION;19300;3821Z;Traitement et élimination des déchets non dangereux;575001;2041990;44.388673088, 2.36304856628
061.00944;CEMEX GRANULATS OYTIER SAINT OBLAS;38780;0812Z;Exploitation de gravières et sablières -  extraction d'argiles et de kaolin;809559;2066070;43.4811460018, 5.62281522725
055.14688;SARL QUINTIN VIANDES;22800;1011Z;Transformation et conservation de la viande de boucherie;211500;2391299;49.321654605, -0.797817705364
061.01473;Carrière de Saint-Bonnet-de-Mure (CBR);69720;0812Z;Exploitation de gravières et sablières -  extraction d'argiles et de kaolin;809400;2079900;45.8924089909, 0.389531396078
22219269;SAS GOUBIN;22150;012G;Elevage de volailles;226223;2376514;45.6166684542, 0.100000005558
061.02079;CHIMICOLOR;1121;2561Z;Traitement et revêtement des métaux;812068;2097256;45.5112866715, -0.137213947312
061.02304;Plastic Omnium Composites ANDANCE;7340;2932Z;Fabrication d'autres équipements automobiles;793226;2029449;45.7960877439, 0.49468419965
061.02359;ISDND du SICTOBA;7460;3821Z;Traitement et élimination des déchets non dangereux;751178;1930700;46.0242144189, -0.303245067805
054.02339;LEJAY LAGOUTE SAS;21000;1101Z;Production de boissons alcooliques distillées;804200;2261700;45.7471525926, -0.637908037884
055.03373;SAS Maître Jacques;35000;1013A;Préparation industrielle de produits à base de viande;300960;2353769;45.671289352, -0.78754444525
054.01322;PHILIPS ECLAIRAGE;58027;315C;Fabrication d'appareils d'éclairage;662475;2220888;46.9662670023, 2.17489205506
074.03149;SOLAL;94600;2561Z;Traitement et revêtement des métaux;605860;2417239;46.9662670023, 2.17489205506
100.02048;Station de compression de Méry/Cher;18100;603Z;Transports par conduites;574715;2249045;47.4298825065, 2.38341051201
070.00662;BAUDELET SAS;59173;3821Z;Traitement et élimination des déchets non dangereux;604688;2633254;47.0979201852, 2.57478854096
100.00138;DENIS;28160;2822Z;Fabrication de matériel de levage et de manutention;513084;2357443;46.8377318004, 2.3145475036
100.00686;ARCH WATER PRODUCTS FRANCE;37402;2014Z;Fabrication d'autres produits chimiques organiques de base;500363.88;2269054.61;
100.03574;Carrière de Briare;;;;;;48.3111537406, -2.87274454735
065.06227;Etablissement P.R.M.;75011;2561Z;Traitement et revêtement des métaux;600832;2428896;48.3111537406, -2.87274454735
100.06043;SONOPOL;41101;2561Z;Traitement et revêtement des métaux;505286;2311066;48.3111537406, -2.87274454735
065.07291;Stockage Souterrain de Saint Clair sur Epte;95770;5210B;Entreposage et stockage non frigorifique;552215;2467831;48.3111537406, -2.87274454735
066.00260;Dépôt pétrolier de DYNEFF;11210;4671Z;Commerce de gros (commerce interentreprises) de combustibles et de produits annexes;659034;1780079;48.3111537406, -2.87274454735
066.00403;Compagnie des salins du midi et des salines de l'est;30220;0893Z;Production de sel;749936;1842538;48.4918946765, -2.56677929419
066.00425;Blancolor;30133;2030Z;Fabrication de peintures -  vernis -  encres et mastics;794559.78;1887183.09;48.5434519495, -3.39665630364
066.00613;DURAND RECUPERATION SAS;30900;3831Z;Démantèlement d'épaves;759945.35;1869914.69;48.5434519495, -3.39665630364
22032105;NOGUES Jacqueline;22350;0147Z;Élevage de volailles;266912;2375111;48.4177889347, -3.0654205796
22296095;ELEVAGE DE LA BOURDONNIERE;22510;0146Z;Élevage de porcins;239900;2384500;48.570640482, -2.43743536782
060.03649;DALKIA SDCL BIOMASSE LIMOGES D97688L;87100;3530Z;Production et distribution de vapeur et d'air conditionné;513552.17;2093729.07;48.4021229832, -2.57459007377
061.02261;ND LOGISTICS;1150;5210B;Entreposage et stockage non frigorifique;823264.50420129;2097152.1046533;48.3165558544, -2.26221280532
544.00775;SICA SA DES NAISSEURS DE LA MEE;44170;0146Z;Élevage de porcins;303081;2298678;48.4278156067, -3.33022902899
54900177;earl la joliviere;49110;0147Z;Élevage de volailles;341675;2261076;48.0587997004, -2.61115242529
56017079;sas oeufs de kerlo;56500;0147Z;Élevage de volailles;218100;2332399;48.0587997004, -2.61115242529
Le Pron;56220;BRETAGNE;disposant de 40 000 emplacements pour la volaille;;Élevage de volailles;7.(a).(i);48.3127071067, -3.16619085697
56080006;EARL DU DOMAINE;56490;0150Z;Culture et élevage associés;246632;2348763;48.3390162878, -3.10590902376
56099062;EARL DE KERDAVID;56160;0147Z;Élevage de volailles;185580;2361300;48.3390162878, -3.10590902376
56120050;SCEA DES DEUX BUTTES;56390;0146Z;Élevage de porcins;217612;2318961;48.2893307063, -2.15354716988
068.02962;Société des Céramiques Techniques;65460;2343Z;Fabrication d'isolateurs et pièces isolantes en céramique;455599;1812590;48.4911018678, -2.60093548091
068.03407;COLIEGE METALCO EMBALLAGES;31023;2592Z;Fabrication d'emballages métalliques légers;522864;1843338;48.4631281548, -2.95240095257
75600149;GAEC TREGUEE;29400;0147Z;Élevage de volailles;123768;2411906;48.240846519, -3.12384718726
061.09053;CEA - INES;73375;7219Z;Recherche-développement en autres sciences physiques et naturelles;875486.9;2077558.2;48.4202509181, -2.65749434582
065.05294;SEGRO FRANCE;;;;;;48.2230348395, -3.39546023136
064.01593;COOPERATIVE VINICOLE DE ROUSSET;13790;1102B;Vinification;866191;1836570;48.6043651879, -3.02018571116
070.02243;SIENOR;59111;2932Z;Fabrication d'autres équipements automobiles;670632.92199919;2586747.025867;48.4021229832, -2.57459007377
070.03529;IKOS ENVIRONNEMENT;62650;3821Z;Traitement et élimination des déchets non dangereux;569015;2616352;48.7780831384, -3.04377217801
100.00951;Source Saint CYR;45100;1107A;Industrie des eaux de table;570674;2313502;48.364832209, -2.4016717137
065.00297;ABB FRANCE;77340;312A;Fabrication de matériel de distribution et de commande électrique pour basse tension;634000;2377300;48.3357874743, -2.96159798694
068.02393;AUGROS PACKAGING METAL;31120;;non renseigné;522627;1836626;48.3357874743, -2.96159798694
070.00768;Dinde des Pays du Nord;62305;151C;Production de viandes de volailles;634678;2604079;48.3186793609, -3.06377017313
068.03622;KNAUF INDUSTRIES SUD OUEST;31000;252C;Fabrication d'emballages en matières plastiques;525825;1839225;48.3186793609, -3.06377017313
11138002;SARL LA CLAU;11400;013Z;Culture et élevage associés;568048;1807445;48.5606651502, -2.37515540403
12142051;GAEC DE CASSAN;12390;;non renseigné;602112;1931956;48.5606651502, -2.37515540403
221.00266;Sofunag Environnement;97160;141C;Extraction de calcaire industriel -  de gypse et de craie;679466.140984;1803988.21812;48.5606651502, -2.37515540403
75200162;BROGARD PASCAL;56500;;non renseigné;213300;2329999;48.5606651502, -2.37515540403
051.01510;PENOX SA - USINE DE RIEUX;60871;241C;Fabrication de colorants et de pigments;613000;2478000;48.5606651502, -2.37515540403
058.01243;ECOSTU'AIR;76170;900B;Enlèvement et traitement des ordures ménagères;466971;2504400;
051.00462;FRAÎCHEUR D'EUROPE;2290;153A;Transformation et conservation de pommes de terre;656611;2490026;48.5606651502, -2.37515540403
75100231;Gildas GOURIOU;22140;;non renseigné;184556;2417965;48.5410370343, -2.43365235653
057.01529;L'AMMONIAC AGRICOLE;51230;515L;Commerce de gros de produits chimiques;721616;2418663;48.4087636342, -2.32222953134
058.02195;Centrale thermique de Smurfit Socar;27200;403Z;Production et distribution de chaleur;537205;2455825;48.3092689122, -3.31829786109
169.00015;SYNBIOTICS EUROPE;69367;731Z;Recherche-développement en sciences physiques et naturelles;793467;2083692;48.3092689122, -3.31829786109
052.01479;SOLEAL - Borderes;40270;1039A;Autre transformation et conservation de légumes;380001.55;1797631.28;48.3092689122, -3.31829786109
052.02274;RAYNAL ET ROQUELAURE;47110;1085Z;Fabrication de plats préparés;461049;1934597;48.47092316, -2.51100575975
29196113;EARL DES TROIS VALLEES;29830;0146Z;Élevage de porcins;88199;2414374;48.47092316, -2.51100575975
052.02355;ETS PRIEUR;64600;3831Z;Démantèlement d'épaves;288015;1838537;48.4296552417, -2.5406338422
064.01283;SOCOPA Viandes;84800;1011Z;Transformation et conservation de la viande de boucherie;818099;1883800;48.4296552417, -2.5406338422
49002488;PONANT (EARL DU);49600;0147Z;Élevage de volailles;345744;2244438;48.7499322232, -3.28184685611
062.00667;SEEV VANDOEUVRE;54500;3530Z;Production et distribution de vapeur et d'air conditionné;882125;2413775;48.1602182027, -3.2445572377
054.01247;DESPLAT;71530;3832Z;Récupération de déchets triés;792864.59531757;2205685.1127198;48.658917149, -3.01188077715
054.01310;SICLI OPERATIONS FRANCE;89600;3299Z;Autres activités manufacturières n.c.a.;704484.34;2332517.24;48.517347817, -3.03158832618
054.01324;SELNI SAS;58000;2711Z;Fabrication de moteurs -  génératrices et transformateurs électriques;662475;2220888;48.517347817, -3.03158832618
100.05631;IMERYS TC Site de Grossouvre;18600;2332Z;Fabrication de briques -  tuiles et produits de construction -  en terre cuite;646124;2208886;48.4560150345, -2.02860847197
052.00110;CORENSO FRANCE;24700;1712Z;Fabrication de papier et de carton;419812;2003714;48.4087636342, -2.32222953134
74289050;SARL Le Fromager de la Fruitière du Val de Fier;74150;1051C;Fabrication de fromage;879100;2106600;48.4597250035, -3.52299092258
052.01349;Vermilion Rep Dépôt de Cazaux;33260;0610Z;Extraction de pétrole brut;321700;1954850;48.1760258754, -2.75400390991
