NOM POLLUANT;QUANTITE;COORDONNEE;IDENTIFIANT;COORDONNEE;Nom Etablissement
Ammoniac (NH3);150600;46.2155771882, 4.94401653572;1046103;46.2155771882, 4.94401653572;CHARAL
Ammoniac (NH3);46000;46.3839687426, 4.99673330289;1050004;46.3839687426, 4.99673330289;SARL DOUAY Bernard
Ammoniac (NH3);184300;45.996682755, 5.17064024433;1074121;45.996682755, 5.17064024433;VIDOR
Ammoniac (NH3);134400;46.0297481174, 4.80444571493;1075089;46.0297481174, 4.80444571493;PARICHE
Ammoniac (NH3);111200;46.2669661647, 5.06646487067;1115003;46.2669661647, 5.06646487067;MPRO
Ammoniac (NH3);44900;46.4189734526, 5.29443654236;1147112;46.4189734526, 5.29443654236;COGNAC GAUTIER
Ammoniac (NH3);149800;46.3671955849, 5.17380387543;1163009;46.3671955849, 5.17380387543;ACIA AUTOMOTIVE
Ammoniac (NH3);93700;46.3671955849, 5.17380387543;1163015;46.3671955849, 5.17380387543;Station de Compression de ChÃ¢teau Landon
Ammoniac (NH3);14500;46.3671955849, 5.17380387543;1163177;46.3671955849, 5.17380387543;PROTEIS VIANDES
Ammoniac (NH3);164600;46.248907515, 5.12631665891;1301084;46.248907515, 5.12631665891;GALVAMETAL
Ammoniac (NH3);274100;46.3218795956, 5.38462523066;1312009;46.3218795956, 5.38462523066;EARL Millet
Ammoniac (NH3);11000;46.2124388126, 4.91201985517;1334001;46.2124388126, 4.91201985517;LENNE
Ammoniac (NH3);88700;46.2760137182, 4.97175620392;1343009;46.2760137182, 4.97175620392;AMCOR FLEXIBLES FOOD FRANCE
Ammoniac (NH3);106400;46.3058142448, 5.06111179477;1346010;46.3058142448, 5.06111179477;Rolland SA
Ammoniac (NH3);84800;46.2609412652, 4.91594672289;1365149;46.2609412652, 4.91594672289;Avilande
Ammoniac (NH3);14200;46.1006970426, 5.32859625187;1374138;46.1006970426, 5.32859625187;CARO ANDREE
Ammoniac (NH3);73000;46.0713048056, 4.89793817131;1389156;46.0713048056, 4.89793817131;SCEA BERNARD
Ammoniac (NH3);89600;46.0798652751, 5.52969730872;1441045;46.0798652751, 5.52969730872;CROUSTIFRANCE Reims
Ammoniac (NH3);101500;46.3450864241, 5.32181716079;1445005;46.3450864241, 5.32181716079;DASSAULT AVIATION
Ammoniac (NH3);193700;49.6898827225, 3.43424611881;2017039;49.6898827225, 3.43424611881;REDA
Ammoniac (NH3);97500;48.8614300521, 3.46388951383;2147039;48.8614300521, 3.46388951383;METALTEMPLE AQUITAINE
Ammoniac (NH3);11600;49.758333275, 3.68248007985;2169009;49.758333275, 3.68248007985;AOSTE SNC etablissement de Maclas
Ammoniac (NH3);41600;49.9182917947, 3.37169640907;2323052;49.9182917947, 3.37169640907;64300
Ammoniac (NH3);28900;49.8890156162, 3.24397565569;2355051;49.8890156162, 3.24397565569;LAFARGE GRANULATS SUD
Ammoniac (NH3);92900;49.2719201771, 3.35168777108;2372851;49.2719201771, 3.35168777108;PAPREC Sud Ouest
Ammoniac (NH3);183100;49.8175420564, 3.60493459668;2403072;49.8175420564, 3.60493459668;AUTO LA CARTOUCHERIE
Ammoniac (NH3);65200;49.9326422425, 3.62135959339;2422103;49.9326422425, 3.62135959339;COGELYO NORD EST - Goodyear
Ammoniac (NH3);84800;49.7027783917, 3.48196517088;2559061;49.7027783917, 3.48196517088;AMORA MAILLE SI
Ammoniac (NH3);57300;49.7027783917, 3.48196517088;2559851;49.7027783917, 3.48196517088;ETA
Ammoniac (NH3);178700;50.0221549425, 3.98152961664;2650115;50.0221549425, 3.98152961664;DISTILLERIE DOUENCE-St GenÃ¨s de Lombaud-
Ammoniac (NH3);13000;50.0221549425, 3.98152961664;2650303;50.0221549425, 3.98152961664;TEMBEC TARTAS SAS
Ammoniac (NH3);60000;49.7768621507, 3.49888586002;2813030;49.7768621507, 3.49888586002;SOMOMA SCIAGE
Ammoniac (NH3);159300;46.4435567634, 3.36214726043;3025109;46.4435567634, 3.36214726043;MARCADET
Ammoniac (NH3);68800;46.1887923712, 3.27315459215;3043107;46.1887923712, 3.27315459215;RIGHINI -Tonneins
Ammoniac (NH3);198400;46.6776062773, 3.05213240814;3146008;46.6776062773, 3.05213240814;NETRA Cesson SÃ©vignÃ©
Ammoniac (NH3);77100;46.462318515, 3.43151079464;3197077;46.462318515, 3.43151079464;SVA Jean RozÃ©
Ammoniac (NH3);71800;46.4435567634, 3.36214726043;3197999;46.4435567634, 3.36214726043;ABATTOIR INTERCOMMUNAL LE FAOU
Ammoniac (NH3);20800;46.1767648077, 3.53443508421;3230063;46.1767648077, 3.53443508421;SOCIETE FROMAGERE DE CLECY
Ammoniac (NH3);39300;46.2580876657, 3.51220953395;3235999;46.2580876657, 3.51220953395;QUARON (ex Solvadis France)
Ammoniac (NH3);94500;46.1798678929, 3.21462252072;3237999;46.1798678929, 3.21462252072;dÃ©charge de LEUILLY
Ammoniac (NH3);33800;44.0304579455, 5.97280724116;4116006;44.0304579455, 5.97280724116;Blanchisserie du Centre Hospitalier de la RÃ©gion d'Annecy
Ammoniac (NH3);11300;49.4281041003, 4.41767349267;8014090;49.4281041003, 4.41767349267;BRASSERIES KRONENBOURG
Ammoniac (NH3);65800;49.4745016662, 4.24744644934;8038090;49.4745016662, 4.24744644934;Charcuteries de BrocÃ©liande
Ammoniac (NH3);69000;49.4745016662, 4.24744644934;8038091;49.4745016662, 4.24744644934;EPI-Bretagne (Usine de Plaintel)
Ammoniac (NH3);136500;49.419244431, 4.27431210709;8111090;49.419244431, 4.27431210709;Ets. AndrÃ© Zalkin et Cie.
Ammoniac (NH3);139800;49.6046818009, 4.14006951931;8210005;49.6046818009, 4.14006951931;BULL SERVICES TRELAZE
Ammoniac (NH3);83400;49.38634629, 4.53937653028;8250031;49.38634629, 4.53937653028;MAGASINS GENERAUX VAUCLUSIENS RHONE MEDITERANNEE
Ammoniac (NH3);215000;49.3786952648, 4.28577331721;8287013;49.3786952648, 4.28577331721;Conserverie des Valayans
Ammoniac (NH3);110600;49.4113113962, 4.30196881028;8314003;49.4113113962, 4.30196881028;ERTOL
Ammoniac (NH3);156200;49.4113113962, 4.30196881028;8314010;49.4113113962, 4.30196881028;Fonderies DURANTON-SICFOND
Ammoniac (NH3);72800;49.4113113962, 4.30196881028;8314091;49.4113113962, 4.30196881028;LIOTYARD
Ammoniac (NH3);67800;49.4145327202, 4.24013013472;8397090;49.4145327202, 4.24013013472;SARL BERENGIER PHILIPPE
Ammoniac (NH3);71900;49.4395295848, 4.28571641726;8435023;49.4395295848, 4.28571641726;DANDY SA (pontivy)
Ammoniac (NH3);239400;48.6176579435, 4.00623147518;10075018;48.6176579435, 4.00623147518;EDF Gaz de France Distribution Ille et Vilaine
Ammoniac (NH3);235000;48.5506963939, 4.36777313882;10121023;48.5506963939, 4.36777313882;EARL DE LA DOUVE
Ammoniac (NH3);349600;48.5506963939, 4.36777313882;10121046;48.5506963939, 4.36777313882;DANISCO SEILLANS
Ammoniac (NH3);427900;48.5122166021, 4.24852622672;10256036;48.5122166021, 4.24852622672;PANZANI (sociÃ©tÃ© fonciÃ¨re et commerciale du silo de la madrague)
Ammoniac (NH3);204500;47.4112421706, 1.0895544323;10370098;47.4112421706, 1.0895544323;BERGON
Ammoniac (NH3);237600;48.6357319111, 4.11197120688;10430022;48.6357319111, 4.11197120688;SUPREX
Ammoniac (NH3);11100;48.6357319111, 4.11197120688;10430500;48.6357319111, 4.11197120688;SCA de la Guiche
Ammoniac (NH3);23000;46.9612006463, -0.995354419268;10850718;46.9612006463, -0.995354419268;GAEC DE PALMIN
Ammoniac (NH3);14700;47.0018390888, -1.33167939307;10850858;47.0018390888, -1.33167939307;Vishay General Semiconductor SAS
Ammoniac (NH3);10400;46.8703207706, -1.01720000732;10850926;46.8703207706, -1.01720000732;DESSEILLES TEINTURE
Ammoniac (NH3);20300;46.8337013829, -0.859797769873;10851322;46.8337013829, -0.859797769873;LABORATOIRE KODAK VIENNE
Ammoniac (NH3);10100;46.7398266238, -1.60593713855;10853363;46.7398266238, -1.60593713855;MERIT
Ammoniac (NH3);24200;47.0503884658, -1.26569128428;10853859;47.0503884658, -1.26569128428;DURAND BELOT
Ammoniac (NH3);33900;46.9479590316, -1.19386678238;10853981;46.9479590316, -1.19386678238;MIPE PITHIVIERS
Ammoniac (NH3);25700;46.7940186096, -0.925883178424;10854129;46.7940186096, -0.925883178424;S.A.P.S. (Abattoirs de Sarrebourg)
Ammoniac (NH3);37100;46.7940186096, -0.925883178424;10854154;46.7940186096, -0.925883178424;SIVOM CHAUNY TERGNIER LA FERE (station d'Ã©puration)
Ammoniac (NH3);65000;46.7834709221, -1.62336857098;10854877;46.7834709221, -1.62336857098;ALCOOL PETROLE CHIMIE
Ammoniac (NH3);41300;46.892603456, -1.25037724224;10855138;46.892603456, -1.25037724224;DEFIAL
Ammoniac (NH3);10400;46.665673861, -0.793010203493;10855203;46.665673861, -0.793010203493;BMB
Ammoniac (NH3);69000;46.8337013829, -0.859797769873;10855747;46.8337013829, -0.859797769873;FIRST METAL (ex AIRBORNE)
Ammoniac (NH3);31900;46.8703207706, -1.01720000732;10856259;46.8703207706, -1.01720000732;DURALEX INTERNATIONAL FRANCE
Ammoniac (NH3);82500;46.8703207706, -1.01720000732;10856265;46.8703207706, -1.01720000732;RECUMAT
Ammoniac (NH3);63700;46.7548956399, -1.6858230563;10856700;46.7548956399, -1.6858230563;France FINITION
Ammoniac (NH3);26000;46.9059242522, -1.4520881381;10857072;46.9059242522, -1.4520881381;Eau du Sud Parisien ESP
Ammoniac (NH3);106800;46.5946014727, -1.18204406822;10857561;46.5946014727, -1.18204406822;SAS OLFA
Ammoniac (NH3);47100;46.8304962829, -1.27053271993;10858010;46.8304962829, -1.27053271993;Casse industrielle de l'Automobile
Ammoniac (NH3);107000;46.832880014, -1.19323055063;10858073;46.832880014, -1.19323055063;SANI
Ammoniac (NH3);46800;46.8224469621, -1.35879380362;10858332;46.8224469621, -1.35879380362;AF3 SAS
Ammoniac (NH3);25100;46.8503434916, -1.1761947178;10858584;46.8503434916, -1.1761947178;DAVIGEL usine d'Offranville
Ammoniac (NH3);81800;46.6010930841, -0.72390978466;10859470;46.6010930841, -0.72390978466;SEDAP
Ammoniac (NH3);44000;46.8293618536, -0.882590487822;10859666;46.8293618536, -0.882590487822;sanofi winthrop industrie
Ammoniac (NH3);21000;46.6969563891, -0.699202284694;10859840;46.6969563891, -0.699202284694;COOPERATIVE LA PAYSANNE
Ammoniac (NH3);10100;43.2686969164, 1.94368572828;11138002;43.2686969164, 1.94368572828;SARL CASSE DE DON
Ammoniac (NH3);141300;43.4043717491, 1.94955768609;11292003;43.4043717491, 1.94955768609;SAB THEVENIN
Ammoniac (NH3);127500;44.5686440293, 2.58817697968;12049111;44.5686440293, 2.58817697968;NEXTER Mechanics
Ammoniac (NH3);21900;44.388673088, 2.36304856628;12142051;44.388673088, 2.36304856628;CORREZE INCINERATION
Ammoniac (NH3);53400;43.4811460018, 5.62281522725;13087700;43.4811460018, 5.62281522725;CEMEX GRANULATS OYTIER SAINT OBLAS
Ammoniac (NH3);124800;49.321654605, -0.797817705364;14124081;49.321654605, -0.797817705364;SARL QUINTIN VIANDES
Ammoniac (NH3);150400;45.8924089909, 0.389531396078;16068142;45.8924089909, 0.389531396078;CarriÃ¨re de Saint-Bonnet-de-Mure (CBR)
Hydrochlorofluorocarbures (HCFC);1258;45.6166684542, 0.100000005558;16113010;45.6166684542, 0.100000005558;SAS GOUBIN
Ammoniac (NH3);197800;45.5112866715, -0.137213947312;16338027;45.5112866715, -0.137213947312;CHIMICOLOR
Ammoniac (NH3);150700;45.7960877439, 0.49468419965;16416136;45.7960877439, 0.49468419965;Plastic Omnium Composites ANDANCE
Ammoniac (NH3);105400;46.0242144189, -0.303245067805;17358056;46.0242144189, -0.303245067805;ISDND du SICTOBA
Ammoniac (NH3);104100;45.7471525926, -0.637908037884;17415143;45.7471525926, -0.637908037884;LEJAY LAGOUTE SAS
Ammoniac (NH3);66600;45.671289352, -0.78754444525;17445057;45.671289352, -0.78754444525;SAS MaÃ®tre Jacques
Ammoniac (NH3);113600;46.9662670023, 2.17489205506;18066001;46.9662670023, 2.17489205506;PHILIPS ECLAIRAGE
Ammoniac (NH3);526200;46.9662670023, 2.17489205506;18066017;46.9662670023, 2.17489205506;SOLAL
Ammoniac (NH3);185800;47.4298825065, 2.38341051201;18088131;47.4298825065, 2.38341051201;Station de compression de MÃ©ry/Cher
Ammoniac (NH3);541700;47.0979201852, 2.57478854096;18158908;47.0979201852, 2.57478854096;BAUDELET SAS
Ammoniac (NH3);91000;46.8377318004, 2.3145475036;18273003;46.8377318004, 2.3145475036;DENIS
Ammoniac (NH3);43600;;19209008;;ARCH WATER PRODUCTS FRANCE
Ammoniac (NH3);53700;48.3111537406, -2.87274454735;22001011;48.3111537406, -2.87274454735;CarriÃ¨re de Briare
Ammoniac (NH3);61300;48.3111537406, -2.87274454735;22001056;48.3111537406, -2.87274454735;Etablissement P.R.M.
Ammoniac (NH3);41200;48.3111537406, -2.87274454735;22001060;48.3111537406, -2.87274454735;SONOPOL
Ammoniac (NH3);25800;48.3111537406, -2.87274454735;22001106;48.3111537406, -2.87274454735;Stockage Souterrain de Saint Clair sur Epte
Ammoniac (NH3);180300;48.3111537406, -2.87274454735;22001127;48.3111537406, -2.87274454735;DÃ©pÃ´t pÃ©trolier de DYNEFF
Ammoniac (NH3);10000;48.4918946765, -2.56677929419;22002090;48.4918946765, -2.56677929419;Compagnie des salins du midi et des salines de l'est
Ammoniac (NH3);11400;48.5434519495, -3.39665630364;22005069;48.5434519495, -3.39665630364;Blancolor
Ammoniac (NH3);84200;48.5434519495, -3.39665630364;22005092;48.5434519495, -3.39665630364;DURAND RECUPERATION SAS
Ammoniac (NH3);47900;48.4177889347, -3.0654205796;22011028;48.4177889347, -3.0654205796;NOGUES Jacqueline
Ammoniac (NH3);69500;48.570640482, -2.43743536782;22012004;48.570640482, -2.43743536782;ELEVAGE DE LA BOURDONNIERE
Ammoniac (NH3);11200;48.4021229832, -2.57459007377;22015045;48.4021229832, -2.57459007377;DALKIA SDCL BIOMASSE LIMOGES D97688L
Ammoniac (NH3);10700;48.3165558544, -2.26221280532;22020209;48.3165558544, -2.26221280532;ND LOGISTICS
Ammoniac (NH3);65600;48.4278156067, -3.33022902899;22023066;48.4278156067, -3.33022902899;SICA SA DES NAISSEURS DE LA MEE
Ammoniac (NH3);277500;48.0587997004, -2.61115242529;22027007;48.0587997004, -2.61115242529;earl la joliviere
Ammoniac (NH3);38400;48.0587997004, -2.61115242529;22027125;48.0587997004, -2.61115242529;sas oeufs de kerlo
Ammoniac (NH3);115300;48.3127071067, -3.16619085697;22029041;48.3127071067, -3.16619085697;56220
Ammoniac (NH3);23400;48.3390162878, -3.10590902376;22029136;48.3390162878, -3.10590902376;EARL DU DOMAINE
Ammoniac (NH3);118100;48.3390162878, -3.10590902376;22029138;48.3390162878, -3.10590902376;EARL DE KERDAVID
Ammoniac (NH3);61300;48.2893307063, -2.15354716988;22032105;48.2893307063, -2.15354716988;SCEA DES DEUX BUTTES
Ammoniac (NH3);113800;48.4911018678, -2.60093548091;22044010;48.4911018678, -2.60093548091;SociÃ©tÃ© des CÃ©ramiques Techniques
Ammoniac (NH3);97800;48.4631281548, -2.95240095257;22045066;48.4631281548, -2.95240095257;COLIEGE METALCO EMBALLAGES
Ammoniac (NH3);90000;48.240846519, -3.12384718726;22052018;48.240846519, -3.12384718726;GAEC TREGUEE
Ammoniac (NH3);121800;48.4202509181, -2.65749434582;22056200;48.4202509181, -2.65749434582;CEA - INES
Ammoniac (NH3);11900;48.2230348395, -3.39546023136;22061059;48.2230348395, -3.39546023136;SEGRO FRANCE
Ammoniac (NH3);70200;48.6043651879, -3.02018571116;22065127;48.6043651879, -3.02018571116;COOPERATIVE VINICOLE DE ROUSSET
Ammoniac (NH3);73600;48.4021229832, -2.57459007377;22065795;48.4021229832, -2.57459007377;SIENOR
Ammoniac (NH3);77900;48.7780831384, -3.04377217801;22069531;48.7780831384, -3.04377217801;IKOS ENVIRONNEMENT
Ammoniac (NH3);97000;48.364832209, -2.4016717137;22070539;48.364832209, -2.4016717137;Source Saint CYR
Ammoniac (NH3);440000;48.3357874743, -2.96159798694;22073094;48.3357874743, -2.96159798694;ABB FRANCE
Ammoniac (NH3);11600;48.3357874743, -2.96159798694;22073106;48.3357874743, -2.96159798694;AUGROS PACKAGING METAL
Ammoniac (NH3);140100;48.3186793609, -3.06377017313;22074137;48.3186793609, -3.06377017313;Dinde des Pays du Nord
Ammoniac (NH3);49600;48.3186793609, -3.06377017313;22074157;48.3186793609, -3.06377017313;KNAUF INDUSTRIES SUD OUEST
Ammoniac (NH3);13500;48.5606651502, -2.37515540403;22076003;48.5606651502, -2.37515540403;SARL LA CLAU
Ammoniac (NH3);162200;48.5606651502, -2.37515540403;22076024;48.5606651502, -2.37515540403;GAEC DE CASSAN
Ammoniac (NH3);71900;48.5606651502, -2.37515540403;22076140;48.5606651502, -2.37515540403;Sofunag Environnement
Ammoniac (NH3);218000;48.5606651502, -2.37515540403;22076146;48.5606651502, -2.37515540403;BROGARD PASCAL
Ammoniac (NH3);247600;48.5606651502, -2.37515540403;22076171;48.5606651502, -2.37515540403;PENOX SA - USINE DE RIEUX
Ammoniac (NH3);120500;;22076185;;ECOSTU'AIR
Ammoniac (NH3);212500;48.5606651502, -2.37515540403;22076202;48.5606651502, -2.37515540403;FRAÃŽCHEUR D'EUROPE
Ammoniac (NH3);129000;48.5410370343, -2.43365235653;22077007;48.5410370343, -2.43365235653;Gildas GOURIOU
Ammoniac (NH3);146400;48.4087636342, -2.32222953134;22084047;48.4087636342, -2.32222953134;L'AMMONIAC AGRICOLE
Ammoniac (NH3);395200;48.3092689122, -3.31829786109;22087239;48.3092689122, -3.31829786109;Centrale thermique de Smurfit Socar
Ammoniac (NH3);90300;48.3092689122, -3.31829786109;22087263;48.3092689122, -3.31829786109;SYNBIOTICS EUROPE
Ammoniac (NH3);65200;48.3092689122, -3.31829786109;22087265;48.3092689122, -3.31829786109;SOLEAL - Borderes
Ammoniac (NH3);65600;48.47092316, -2.51100575975;22093132;48.47092316, -2.51100575975;RAYNAL ET ROQUELAURE
Ammoniac (NH3);24600;48.47092316, -2.51100575975;22093145;48.47092316, -2.51100575975;EARL DES TROIS VALLEES
Ammoniac (NH3);92300;48.4296552417, -2.5406338422;22098010;48.4296552417, -2.5406338422;ETS PRIEUR
Ammoniac (NH3);31200;48.4296552417, -2.5406338422;22098043;48.4296552417, -2.5406338422;SOCOPA Viandes
Ammoniac (NH3);120700;48.7499322232, -3.28184685611;22101145;48.7499322232, -3.28184685611;PONANT (EARL DU)
Ammoniac (NH3);50000;48.1602182027, -3.2445572377;22104096;48.1602182027, -3.2445572377;SEEV VANDOEUVRE
Ammoniac (NH3);16400;48.658917149, -3.01188077715;22112039;48.658917149, -3.01188077715;DESPLAT
Ammoniac (NH3);105400;48.517347817, -3.03158832618;22116122;48.517347817, -3.03158832618;SICLI OPERATIONS FRANCE
Ammoniac (NH3);27000;48.517347817, -3.03158832618;22116187;48.517347817, -3.03158832618;SELNI SAS
Ammoniac (NH3);39900;48.4560150345, -2.02860847197;22118067;48.4560150345, -2.02860847197;IMERYS TC Site de Grossouvre
Ammoniac (NH3);59300;48.4087636342, -2.32222953134;22125013;48.4087636342, -2.32222953134;CORENSO FRANCE
Ammoniac (NH3);87000;48.4597250035, -3.52299092258;22132124;48.4597250035, -3.52299092258;SARL Le Fromager de la FruitiÃ¨re du Val de Fier
Ammoniac (NH3);126000;48.1760258754, -2.75400390991;22132228;48.1760258754, -2.75400390991;Vermilion Rep DÃ©pÃ´t de Cazaux
Ammoniac (NH3);343200;48.5660143935, -3.33872329624;22135005;48.5660143935, -3.33872329624;AMELYS (EARL LES)
Ammoniac (NH3);56000;48.1760258754, -2.75400390991;22136149;48.1760258754, -2.75400390991;PAULET PAUL
Ammoniac (NH3);254500;48.1760258754, -2.75400390991;22136392;48.1760258754, -2.75400390991;SANOFI CHIMIE
Ammoniac (NH3);14500;48.1760258754, -2.75400390991;22136394;48.1760258754, -2.75400390991;SARL De la Ferme de Kervenach
Ammoniac (NH3);111200;48.2837394188, -3.42394729115;22137239;48.2837394188, -3.42394729115;BERNIER FRERES SARL
Ammoniac (NH3);120900;48.47092316, -2.51100575975;22142007;48.47092316, -2.51100575975;GENERIS
Ammoniac (NH3);90200;48.47092316, -2.51100575975;22142158;48.47092316, -2.51100575975;PARIS EXPO
Ammoniac (NH3);168600;;22144025;;SODEXAS
Ammoniac (NH3);23000;48.2772548438, -2.90032753958;22149098;48.2772548438, -2.90032753958;fonderies de Wassigny Joassart
Ammoniac (NH3);95500;48.7749654844, -3.22866305247;22152077;48.7749654844, -3.22866305247;EHPF Ã©tablissement SOREMAM
Ammoniac (NH3);20000;48.2356243296, -3.4442996916;22163171;48.2356243296, -3.4442996916;ANDRE VERNAY TEINTURE
Ammoniac (NH3);111800;48.3723460044, -2.49674345779;22165001;48.3723460044, -2.49674345779;AIR LIQUIDE
Ammoniac (NH3);26400;48.3723460044, -2.49674345779;22165064;48.3723460044, -2.49674345779;CENTRE DE TRI DE PETIT-C_UR
Ammoniac (NH3);96400;48.3723460044, -2.49674345779;22165073;48.3723460044, -2.49674345779;Etablissement de Maintenance du MatÃ©riel de DIJON
Ammoniac (NH3);136200;48.8139300014, -3.29493964486;22166005;48.8139300014, -3.29493964486;bioMerieux Grenoble
Ammoniac (NH3);26600;48.2904391392, -3.23101851434;22169073;48.2904391392, -3.23101851434;CHIMIDEROUIL
Ammoniac (NH3);96200;48.4481372691, -2.38816509907;22175071;48.4481372691, -2.38816509907;Etablissement FranÃ§ais du Sang Bourgogne Franche ComtÃ©
Ammoniac (NH3);11200;48.6340807659, -2.94032885811;22177128;48.6340807659, -2.94032885811;ARKEMA (Usine de BRIGNOUD)
Ammoniac (NH3);143100;48.4340364504, -2.21842314703;22180118;48.4340364504, -2.21842314703;ATE
Ammoniac (NH3);41700;48.5566205814, -2.94589131853;22182018;48.5566205814, -2.94589131853;SILIM IncinÃ©rateur d'Arles
Ammoniac (NH3);146000;48.5566205814, -2.94589131853;22182030;48.5566205814, -2.94589131853;TEINTURERIES DE LA TURDINE (USINE ROUTE DE PARIS)
Ammoniac (NH3);43400;48.5566205814, -2.94589131853;22182329;48.5566205814, -2.94589131853;RICARD
Ammoniac (NH3);51200;48.1773554945, -2.59372843675;22183286;48.1773554945, -2.59372843675;Syndicat Interhospitalier de Blanchisserie de Metz
Ammoniac (NH3);98300;48.4481620909, -3.12033666786;22189125;48.4481620909, -3.12033666786;LABORATOIRES LYOCENTRE
Ammoniac (NH3);92700;48.4481620909, -3.12033666786;22189131;48.4481620909, -3.12033666786;ROQUETTE FrÃ¨res
