NOM_REGION;SUPERFICIE;POPULATION;CODE_REGION;SUPERFICIE
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;585.0;510;75;585.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;688.0;279;75;688.0
AUVERGNE-RHONE-ALPES;1127.0;114;84;1127.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;1092.0;124;76;1092.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;512.0;185;44;512.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;556.0;58;44;556.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;326.0;73;76;326.0
NORMANDIE;291.0;756;28;291.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;1101.0;340;75;1101.0
AUVERGNE-RHONE-ALPES;745.0;946;84;745.0
BOURGOGNE-FRANCHE-COMTE;416.0;31;27;416.0
NORD-PAS-DE-CALAIS-PICARDIE;373.0;167;32;373.0
BRETAGNE;4154.0;2907;53;4154.0
NORMANDIE;908.0;1107;28;908.0
NORD-PAS-DE-CALAIS-PICARDIE;627.0;664;32;627.0
PROVENCE-ALPES-COTE D'AZUR;680.0;359;93;680.0
NORD-PAS-DE-CALAIS-PICARDIE;578.0;236;32;578.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;378.0;363;44;378.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;897.0;582;44;897.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;324.0;336;76;324.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;678.0;120;76;678.0
BOURGOGNE-FRANCHE-COMTE;802.0;170;27;802.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;1324.0;1121;44;1324.0
BRETAGNE;948.0;503;53;948.0
NORD-PAS-DE-CALAIS-PICARDIE;1650.0;23035;32;1650.0
BOURGOGNE-FRANCHE-COMTE;1967.0;157;27;1967.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;274.0;228;76;274.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;897.0;666;44;897.0
AUVERGNE-RHONE-ALPES;392.0;818;84;392.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;2196.0;96;76;2196.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;1221.0;178;75;1221.0
BRETAGNE;1032.0;907;53;1032.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;830.0;2865;75;830.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;59.0;2327;75;59.0
PAYS DE LA LOIRE;6479.0;3386;52;6479.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;1410.0;1050;75;1410.0
BRETAGNE;6857.0;3598;53;6857.0
PAYS DE LA LOIRE;2098.0;1652;52;2098.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;197.0;341;44;197.0
BRETAGNE;6539.0;3277;53;6539.0
AUVERGNE-RHONE-ALPES;555.0;286;84;555.0
PAYS DE LA LOIRE;5869.0;3680;52;5869.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;881.0;2368;44;881.0
BOURGOGNE-FRANCHE-COMTE;531.0;1337;27;531.0
BRETAGNE;2750.0;4005;53;2750.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;1876.0;873;75;1876.0
AUVERGNE-RHONE-ALPES;2006.0;140;84;2006.0
CENTRE-VAL DE LOIRE;1715.0;703;24;1715.0
BOURGOGNE-FRANCHE-COMTE;712.0;288;27;712.0
BOURGOGNE-FRANCHE-COMTE;1054.0;555;27;1054.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;1041.0;937;75;1041.0
NORMANDIE;368.0;239;28;368.0
BOURGOGNE-FRANCHE-COMTE;319.0;66;27;319.0
NORMANDIE;497.0;53;28;497.0
AUVERGNE-RHONE-ALPES;465.0;437;84;465.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;2196.0;99;76;2196.0
CENTRE-VAL DE LOIRE;847.0;143;24;847.0
NORMANDIE;729.0;728;28;729.0
CENTRE-VAL DE LOIRE;5016.0;239;24;5016.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;2528.0;437;76;2528.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;833.0;490;75;833.0
AUVERGNE-RHONE-ALPES;2546.0;317;84;2546.0
CENTRE-VAL DE LOIRE;6061.0;525;24;6061.0
PROVENCE-ALPES-COTE D'AZUR;5435.0;1034;93;5435.0
PAYS DE LA LOIRE;3280.0;1754;52;3280.0
BRETAGNE;1966.0;3077;53;1966.0
AUVERGNE-RHONE-ALPES;1615.0;830;84;1615.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;1255.0;347;75;1255.0
AUVERGNE-RHONE-ALPES;1708.0;1745;84;1708.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;2535.0;898;76;2535.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;355.0;112;76;355.0
PROVENCE-ALPES-COTE D'AZUR;4464.0;11621;93;4464.0
NORD-PAS-DE-CALAIS-PICARDIE;1503.0;956;32;1503.0
CORSE;2389.0;663;94;2389.0
BOURGOGNE-FRANCHE-COMTE;966.0;103;27;966.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;1845.0;1290;75;1845.0
BRETAGNE;1880.0;930;53;1880.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;280.0;28;44;280.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;287.0;98;44;287.0
BRETAGNE;1861.0;1108;53;1861.0
NORMANDIE;307.0;166;28;307.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;859.0;243;76;859.0
AUVERGNE-RHONE-ALPES;724.0;297;84;724.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;1567.0;1302;44;1567.0
ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;1988.0;1200;44;1988.0
BOURGOGNE-FRANCHE-COMTE;989.0;113;27;989.0
BOURGOGNE-FRANCHE-COMTE;556.0;352;27;556.0
AQUITAINE-LIMOUSIN-POITOU-CHARENTES;581.0;313;75;581.0
PAYS DE LA LOIRE;1295.0;928;52;1295.0
PAYS DE LA LOIRE;2761.0;1003;52;2761.0
LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;1017.0;4536;76;1017.0
PROVENCE-ALPES-COTE D'AZUR;1009.0;785;93;1009.0
PAYS DE LA LOIRE;896.0;164;52;896.0
PROVENCE-ALPES-COTE D'AZUR;1350.0;3279;93;1350.0
PROVENCE-ALPES-COTE D'AZUR;1280.0;244;93;1280.0
