VILLE;Code_postal;SUPERFICIE;POPULATION
AMBERIEU-EN-BUGEY;64800;585.0;510
AMBERIEU-EN-BUGEY;;688.0;279
AMBERIEU-EN-BUGEY;15150;1127.0;114
AMBERIEU-EN-BUGEY;11300;1092.0;124
AMBERIEU-EN-BUGEY;54300;512.0;185
AMBERIEU-EN-BUGEY;88270;556.0;58
AMBERIEU-EN-BUGEY;65120;326.0;73
AMBERIEU-EN-BUGEY;14610;291.0;756
AMBERIEU-EN-BUGEY;33430;1101.0;340
AMBERIEU-EN-BUGEY;7360;745.0;946
AMBERIEU-EN-BUGEY;21690;416.0;31
AMBERIEU-EN-BUGEY;62450;373.0;167
AMBERIEU-EN-BUGEY;35480;4154.0;2907
AMBERIEU-EN-BUGEY;14210;908.0;1107
AMBERIEU-EN-BUGEY;59252;627.0;664
AMBERIEU-EN-BUGEY;13610;680.0;359
AMBERIEU-EN-BUGEY;2680;578.0;236
AMBERIEU-EN-BUGEY;68720;378.0;363
AMBERIEU-EN-BUGEY;88700;897.0;582
AMBERIEU-EN-BUGEY;11800;324.0;336
AMBERIEU-EN-BUGEY;32430;678.0;120
AMBERIEU-EN-BUGEY;70800;802.0;170
AMBERIEU-EN-BUGEY;67360;1324.0;1121
AMBERIEU-EN-BUGEY;35330;948.0;503
BOURG-EN-BRESSE;62700;1650.0;23035
DAGNEUX;58370;1967.0;157
DAGNEUX;30350;274.0;228
DAGNEUX;67290;897.0;666
PREVESSIN-MOENS;42800;392.0;818
PREVESSIN-MOENS;48310;2196.0;96
PREVESSIN-MOENS;47410;1221.0;178
PREVESSIN-MOENS;35500;1032.0;907
PREVESSIN-MOENS;33720;830.0;2865
PREVESSIN-MOENS;33220;59.0;2327
PREVESSIN-MOENS;44130;6479.0;3386
PREVESSIN-MOENS;47310;1410.0;1050
PREVESSIN-MOENS;56930;6857.0;3598
PREVESSIN-MOENS;;2098.0;1652
PREVESSIN-MOENS;67370;197.0;341
PREVESSIN-MOENS;35330;6539.0;3277
PREVESSIN-MOENS;42260;555.0;286
PREVESSIN-MOENS;44390;5869.0;3680
PREVESSIN-MOENS;57310;881.0;2368
PREVESSIN-MOENS;25660;531.0;1337
PREVESSIN-MOENS;22560;2750.0;4005
PREVESSIN-MOENS;86310;1876.0;873
PREVESSIN-MOENS;63630;2006.0;140
PREVESSIN-MOENS;41190;1715.0;703
PREVESSIN-MOENS;89200;712.0;288
PREVESSIN-MOENS;89480;1054.0;555
PREVESSIN-MOENS;17770;1041.0;937
PREVESSIN-MOENS;50300;368.0;239
PREVESSIN-MOENS;39240;319.0;66
PREVESSIN-MOENS;;497.0;53
PREVESSIN-MOENS;38980;465.0;437
SAINT-GENIS-POUILLY;12360;2196.0;99
SAINT-GENIS-POUILLY;18300;847.0;143
SAINT-GENIS-POUILLY;76730;729.0;728
SAINT-GENIS-POUILLY;18700;5016.0;239
SAINT-GENIS-POUILLY;46500;2528.0;437
SAINT-GENIS-POUILLY;79320;833.0;490
SAINT-GENIS-POUILLY;7660;2546.0;317
SAINT-VULBAS;36300;6061.0;525
SAINT-VULBAS;13126;5435.0;1034
SAINT-VULBAS;53440;3280.0;1754
SAINT-VULBAS;35137;1966.0;3077
SAINT-VULBAS;42520;1615.0;830
SAINT-VULBAS;17470;1255.0;347
SAINT-VULBAS;38160;1708.0;1745
SAINT-VULBAS;81500;2535.0;898
SAINT-VULBAS;9600;355.0;112
SAINT-VULBAS;13390;4464.0;11621
SAINT-VULBAS;59285;1503.0;956
SAINT-VULBAS;20230;2389.0;663
SAINT-VULBAS;;966.0;103
SAINT-VULBAS;79370;1845.0;1290
SAINT-VULBAS;22740;1880.0;930
SAINT-VULBAS;52320;280.0;28
SAINT-VULBAS;57670;287.0;98
SAINT-VULBAS;22260;1861.0;1108
SAINT-VULBAS;76590;307.0;166
SAINT-VULBAS;66500;859.0;243
SAINT-VULBAS;38690;724.0;297
SAINT-VULBAS;57410;1567.0;1302
SAINT-VULBAS;68127;1988.0;1200
SAINT-VULBAS;21360;989.0;113
SAINT-VULBAS;21170;556.0;352
SAINT-VULBAS;64220;581.0;313
SAINT-VULBAS;85670;1295.0;928
SAINT-VULBAS;53290;2761.0;1003
SAINT-VULBAS;34820;1017.0;4536
SAINT-VULBAS;5260;1009.0;785
SAINT-VULBAS;53540;896.0;164
SAINT-VULBAS;84470;1350.0;3279
SAINT-VULBAS;83630;1280.0;244
SAINT-VULBAS;9220;906.0;30
SAINT-VULBAS;3000;1901.0;1530
SAINT-VULBAS;22430;2656.0;3898
SAINT-VULBAS;22430;2656.0;3898
SAINT-VULBAS;64350;586.0;120
SAINT-VULBAS;59159;881.0;372
SAINT-VULBAS;62370;1866.0;1520
SAINT-VULBAS;80132;1111.0;864
SAINT-VULBAS;2120;1316.0;435
SAINT-VULBAS;2120;1656.0;828
SAINT-VULBAS;80260;1420.0;1426
SAINT-VULBAS;80260;2088.0;2041
SAINT-VULBAS;59244;2662.0;1254
SAINT-VULBAS;59640;4298.0;90995
SAINT-VULBAS;62127;856.0;279
SAINT-VULBAS;59229;1896.0;6995
SAINT-VULBAS;59380;1896.0;6995
SAINT-VULBAS;62240;1408.0;618
SAINT-VULBAS;62270;988.0;192
SAINT-VULBAS;59330;331.0;528
SAINT-VULBAS;62124;648.0;301
SAINT-VULBAS;80230;1282.0;398
SAINT-VULBAS;80640;573.0;88
SAINT-VULBAS;59330;682.0;582
SAINT-VULBAS;59137;1649.0;2557
SAINT-VULBAS;80270;824.0;227
SAINT-VULBAS;80150;1300.0;344
SAINT-VULBAS;2420;936.0;930
SAINT-VULBAS;80120;2630.0;309
SAINT-VULBAS;80630;2287.0;2121
SAINT-VULBAS;80300;1404.0;685
SAINT-VULBAS;59740;413.0;162
SAINT-VULBAS;59493;2756.0;62308
SAINT-VULBAS;14111;568.0;2719
SAINT-VULBAS;50230;1257.0;2782
SAINT-VULBAS;76340;722.0;204
SAINT-VULBAS;50480;1171.0;261
SAINT-VULBAS;;839.0;580
SAINT-VULBAS;14250;1453.0;490
